Date,Close,High,Low,Open,Volume
2024-12-02,119.73131561279297,122.02282372106991,119.62266590430448,121.95368368254988,1821400
2024-12-03,119.3559799194336,120.89682693643535,118.90163000919563,120.45234879211402,1156200
2024-12-04,119.11892700195312,119.5041368644251,118.3089976070506,118.98064692494773,1498600
2024-12-05,119.73131561279297,120.66964578352183,119.27696571170434,119.58315623433604,1087900
2024-12-06,118.07194519042969,120.09676487669479,117.62746706244546,119.33622446561351,982200
2024-12-09,114.78284454345703,118.26949202917038,114.1902145449722,117.91391252293963,2023300
2024-12-10,111.5925064086914,114.14081594072044,109.97264016382445,114.14081594072044,2817900
2024-12-11,111.64189147949219,112.15550964442124,110.22945282948561,111.89870056195672,1875100
2024-12-12,109.55780792236328,113.1629843800792,109.32075743286912,112.3728060341664,3065400
2024-12-13,110.70356750488281,110.99000697137168,109.8442491054162,110.61466886011763,1615700
2024-12-16,109.37014770507812,111.38508819327186,109.33063803374306,110.62454774324473,1455100
2024-12-17,107.71077728271484,108.70836820741145,107.17740803267253,108.50094808834486,2117000
2024-12-18,105.74520111083984,108.32314848366683,105.66618931245432,107.23665901495663,1889000
2024-12-19,105.74520111083984,107.43419981446813,105.53778101064323,106.27857031235907,1620300
2024-12-20,108.12561798095703,108.43180851006792,104.80688099037091,105.34025024268288,5819000
2024-12-23,108.37254333496094,108.55033307845292,107.2959255727876,107.4934739187225,1095600
2024-12-24,109.21210479736328,109.23185586441755,107.91819513788693,108.36266573574856,397800
2024-12-26,109.61708068847656,109.71585110183834,108.64911255185227,108.99481276646827,574200
2024-12-27,108.75775146484375,110.04178931810776,108.43180235099537,108.71824179628345,856000
2024-12-30,107.92807006835938,108.40217858425329,106.91072053200492,107.6811402765957,847100
2024-12-31,108.05647277832031,108.64910274067515,107.54285461810034,107.96757413933274,661200
2025-01-02,107.70088958740234,108.92565913888022,107.30580044752926,108.64909900167862,1332200
2025-01-03,108.15524291992188,108.836771519608,107.24654314413955,108.64910247663384,941700
2025-01-06,107.31568145751953,109.43927902442287,107.01936271397072,108.67873109930697,1642200
2025-01-07,107.68113708496094,109.14296472458143,107.32556512820356,107.32556512820356,1158400
2025-01-08,108.07622528076172,108.1749956865166,106.53538585102879,107.53298428126048,1229100
2025-01-10,105.00442504882812,106.98974273774509,103.64137527465942,105.8933738301118,2819000
2025-01-13,106.1600570678711,106.30820891112823,104.25375881573903,104.36240852459365,1740000
2025-01-14,108.04659271240234,108.11573274859272,105.7550846813374,106.20943456711679,1786800
2025-01-15,109.86399841308594,110.31834829316597,109.1923491260766,109.8442398111658,1161200
2025-01-16,111.08877563476562,111.48386480769743,109.84424737752519,109.84424737752519,1268400
2025-01-17,110.55540466308594,112.01723231949981,110.49614392556208,111.23693328740649,1211300
2025-01-21,110.61466979980469,111.86907738907438,110.18007848118079,110.90110926872691,2079100
2025-01-22,110.18994140625,112.30365969699236,110.09117100247394,111.85918911215073,1810700
2025-01-23,109.52816772460938,110.34797636618086,108.85651845156383,109.73558782626628,1667300
2025-01-24,110.12080383300781,110.28872181245141,109.1923529739086,109.65657463560873,1404800
2025-01-27,113.01482391357422,113.05433358406057,110.91098482614481,110.91098482614481,1328900
2025-01-28,112.027099609375,113.43953823762061,111.46410001829521,113.01481871903769,1607300
2025-01-29,112.10611724853516,113.4790461873133,111.40483759558145,111.40483759558145,1299800
2025-01-30,112.8567886352539,113.24199848876813,111.8591902151715,112.89629830429368,1546000
2025-01-31,110.1800765991211,110.25908840571255,104.6784811150935,104.6784811150935,4019200
2025-02-03,110.92086029052734,111.2566811744954,107.95770292784931,109.0935738883168,3053300
2025-02-04,110.59490966796875,111.88881928731729,110.1603108492629,110.78257870980968,2190400
2025-02-05,112.21476745605469,112.2542771243041,110.76281917460835,111.37520772892616,1851800
2025-02-06,112.08637237548828,113.01482325153185,111.16779326523412,113.01482325153185,1280400
2025-02-07,112.12586975097656,112.4419395639015,111.51348872726507,112.01722758201062,1219300
2025-02-10,110.58502960205078,112.25427729353605,110.51588956643475,111.94807924806618,1573500
