Date,Close,High,Low,Open,Volume
2024-12-02,177.93695068359375,178.419677323107,172.96197862533836,173.1786967756782,1618200
2024-12-03,176.961669921875,177.66111472566962,174.41999303040697,177.0306222819654,1264000
2024-12-04,175.6317138671875,178.0945772712395,175.0504817115413,177.82858381460682,826400
2024-12-05,175.65142822265625,176.9124131349307,174.5874693844011,176.14400092376738,1366100
2024-12-06,177.3852996826172,178.08475961499343,175.67115610073137,176.7646531955881,970600
2024-12-09,179.74964904785156,180.39983363355378,177.2375250932404,177.98623023878108,1721100
2024-12-10,176.3508758544922,179.4146787055814,174.24266526137825,179.17825342583566,1448500
2024-12-11,175.60218811035156,177.73010603120866,173.37576465723646,177.57247914104275,1413400
2024-12-12,175.4051513671875,176.84345531430026,173.53336598236558,174.81405808100655,954800
2024-12-13,173.44471740722656,174.89288252053277,172.8831922789537,174.56778269589998,1392700
2024-12-16,175.1490020751953,178.23251212872688,172.4004528974235,173.2772317423025,1197400
2024-12-17,174.03579711914062,176.64642652350554,172.06550623822326,175.32633524100126,1443200
2024-12-18,168.94261169433594,175.36574970182764,168.1446311911515,174.50867790434125,1310800
2024-12-19,170.70599365234375,171.97683963590924,168.6568894171739,168.95243604350023,1279300
2024-12-20,171.93743896484375,173.50381666617005,169.49428238993292,169.49428238993292,2590500
2024-12-23,172.95213317871094,173.11960610172548,170.96213515632186,171.21828259444845,854900
2024-12-24,173.72055053710938,173.7599647743463,171.64189297061182,172.89303194065945,341000
2024-12-26,174.4889678955078,174.78451455489028,171.70100429875853,171.70100429875853,944400
2024-12-27,173.1984100341797,175.0504881928811,172.17386543429484,173.9274230403363,639300
2024-12-30,170.7749786376953,171.9965494385633,168.49927990304525,171.9965494385633,776800
2024-12-31,171.4547119140625,173.02110464426985,170.58779411760955,171.96699177023493,711700
2025-01-02,167.50428771972656,172.83392846835125,165.92804891104151,171.93744245801003,996400
2025-01-03,171.64190673828125,172.02611290545985,167.57326579665346,168.74557638626018,947600
2025-01-06,176.62672424316406,177.87786319580826,172.30193624238797,172.30193624238797,1518700
2025-01-07,178.2916259765625,181.04019030248668,176.91242830801332,176.91242830801332,1626100
2025-01-08,178.64627075195312,178.9418173908252,173.4249969056347,177.29662630739332,1473800
2025-01-10,180.41952514648438,181.01061839013434,175.9568177565165,176.80404338861447,1784000
2025-01-13,178.23251342773438,179.56246580120103,176.3213288451163,179.44423812507793,1162900
2025-01-14,183.78872680664062,185.01031253672343,178.01577405494265,179.25706690238397,1947800
2025-01-15,184.6753692626953,188.34995751438024,183.8379896327997,186.39937376837642,2214200
2025-01-16,185.00045776367188,186.05457061242913,182.27161568554885,184.31085895389577,952000
2025-01-17,185.92649841308594,187.5815506022027,184.30101441731887,187.5815506022027,963400
2025-01-21,188.74400329589844,189.67988841807303,186.29100087412908,187.0692591248293,910300
2025-01-22,191.41375732421875,191.98514346932103,188.6947463556544,188.70460743037452,934800
2025-01-23,194.55638122558594,195.1671665971105,189.6503460389233,190.81282549196794,1319100
2025-01-24,192.23143005371094,195.52181213919525,191.99498974203576,195.1178989104641,940600
2025-01-27,191.15760803222656,191.59107441615663,188.152926568588,189.0395514214443,1134900
2025-01-28,191.86691284179688,192.04424683064036,188.89178455461146,191.15760695067465,1378200
2025-01-29,192.62548828125,192.9604341259229,190.93103690779986,192.3792019192035,891000
2025-01-30,194.8223419189453,196.05377362486732,193.82735051212543,195.541508858334,1153000
2025-01-31,196.18186950683594,197.90587408998957,194.7632576161292,194.7632576161292,1573700
2025-02-03,195.4922637939453,197.29508175553843,191.38420910721737,193.3643460328394,1764300
2025-02-04,196.37889099121094,197.6694291294869,192.84222242268913,193.0786627429722,2050300
2025-02-05,203.06805419921875,219.6086411388605,200.48696267237483,219.59879509506396,3808800
2025-02-06,196.8911590576172,201.9548057817877,195.22626093651988,201.76762575177665,1967800
2025-02-07,189.16763305664062,197.30492904222925,188.31054629538482,196.80251027552015,1470600
2025-02-10,188.7243194580078,191.1379227834421,186.76387461770736,191.1379227834421,1280400
2025-02-11,188.89178466796875,190.0345419091285,187.2367325769817,187.2367325769817,797100
2025-02-12,186.1333770751953,187.90664182823903,185.0595721807866,186.5963966227158,884200
2025-02-13,184.80343627929688,186.9510612341962,184.7837441929036,186.16294184678245,1120600
2025-02-14,186.57669067382812,188.96074078868978,184.42908087156167,185.22704625739692,1734000
2025-02-18,189.60110473632812,189.77842370641062,185.2073493036067,187.45347978408026,1234900
2025-02-19,191.6107940673828,191.83737331666745,188.03471119815822,188.6455116118903,966300
2025-02-20,189.93605041503906,192.09352140848262,189.32524999924385,192.05410717152705,915200
2025-02-21,183.72962951660156,189.9557560807888,183.54244947281165,189.61094915463613,995200
