Date,Close,High,Low,Open,Volume
2024-12-02,259.2223815917969,262.89167074426683,259.0649813837657,262.86216008157476,1095000
2024-12-03,256.349853515625,260.59956862484955,256.1826364515355,258.8681965386432,847700
2024-12-04,257.5205078125,257.9631977529726,254.86442821170192,255.5530503366551,1138100
2024-12-05,258.9764404296875,261.278362103036,257.6582475067112,258.7009975804241,1718600
2024-12-06,256.9007263183594,259.3797416851803,254.47091539576218,258.6025876597868,1086500
2024-12-09,247.8209228515625,257.3729347689001,247.3782479555466,257.0974919442454,1711200
2024-12-10,244.6400604248047,249.91516961873802,243.22744785370816,248.858167143861,2138300
2024-12-11,242.1605682373047,243.573195857773,238.8611662094516,242.04203154057555,2035400
2024-12-12,240.9158935546875,244.14613920570474,240.2540385263139,242.86195143105,1968600
2024-12-13,243.3064727783203,245.20313528923694,242.57546131202938,243.53367313775294,1305600
2024-12-16,243.27684020996094,245.83535774886636,242.9903564270459,244.491886577266,1454200
2024-12-17,240.6787872314453,242.1407950204133,239.03895933291832,241.46906700800446,1284500
2024-12-18,233.1613006591797,241.9926467080505,232.5883481446145,239.62182223077022,1573400
2024-12-19,234.8208770751953,236.88547157810225,233.3884883300523,234.64305695874066,1546900
2024-12-20,237.8337860107422,239.60203870613864,231.32388480374183,231.67950994944542,2339300
2024-12-23,238.426513671875,238.8315341537371,235.087589333273,235.78896663292036,1408300
2024-12-24,239.9280548095703,240.14538214767086,237.45843967054998,238.88094040235922,329200
2024-12-26,240.7677001953125,240.9751544865763,237.83379638363175,239.048857810557,434100
2024-12-27,238.4759063720703,241.27151235963325,237.64611935003762,238.1894225911302,631700
2024-12-30,236.95462036132812,238.23882320398607,234.72209377906688,236.96450846847725,734300
2024-12-31,237.9622344970703,238.81178270341604,235.9174010107117,237.4979456474782,795100
2025-01-02,237.9622344970703,239.76012154414354,237.09292514918133,239.28594458711254,942500
2025-01-03,239.34519958496094,240.12560636236694,237.20157558381675,239.47362438782528,819700
2025-01-06,238.940185546875,243.0891355627951,237.88318313483515,238.8809172010285,1442700
2025-01-07,238.74261474609375,240.51086753235478,237.11267487063938,238.3178482000462,1460700
2025-01-08,239.8193817138672,241.03442809397131,236.03592966080518,240.55037811934957,1373300
2025-01-10,229.60504150390625,237.14231140451196,228.19242894090095,235.10735103001917,1818500
2025-01-13,230.49411010742188,231.7190445797668,227.43178146322643,228.14303179254495,1751000
2025-01-14,234.0503387451172,234.3466955511741,228.23192657708833,229.67418832745426,1550800
2025-01-15,237.06329345703125,239.23655177618647,236.71755637974215,237.21147941015627,1481100
2025-01-16,239.4242401123047,239.7502311146057,236.96451311736854,236.97438615137727,970700
2025-01-17,236.60887145996094,241.13320782101786,236.60887145996094,239.26617953666613,1346200
2025-01-21,236.2532501220703,238.94019241546064,235.45309728347493,238.4660154883916,2639100
2025-01-22,243.7213592529297,251.32777021752042,243.01010894770388,247.45541581869847,2564600
2025-01-23,238.57467651367188,241.7357956991997,237.4386596692895,240.7874569288747,1478500
2025-01-24,238.92042541503906,241.17271300670652,237.72512516653723,241.12331769384832,1282100
2025-01-27,247.95921325683594,248.18642868434273,240.5108612226288,241.22211153192532,1721800
2025-01-28,245.41058349609375,249.08537195599752,244.87715326890387,248.6704784296644,1217600
2025-01-29,246.4873504638672,248.72975014317745,243.99797419887537,244.60056089193552,1611300
2025-01-30,246.06256103515625,249.03598719662213,244.21529380474442,249.03598719662213,836400
2025-01-31,242.20005798339844,246.98124374232899,242.02225295112385,245.31178170819823,1463600
2025-02-03,241.62713623046875,242.29886427137967,235.32467396348912,239.6711903089921,1483100
2025-02-04,241.0937042236328,243.76088554034135,240.184887667668,241.71605205775413,1209700
2025-02-05,243.34597778320312,243.8892960928704,240.59976713433963,242.61498139686313,950300
2025-02-06,244.63018798828125,246.24038182565414,242.5161981067,246.01316638806932,811000
2025-02-07,242.20997619628906,245.4501100449243,241.07394419110625,244.3437272888053,906600
2025-02-10,239.47361755371094,242.20995510331838,239.02908988314894,242.02226195782185,954100
2025-02-11,239.40447998046875,240.6392874590696,236.48044923887517,239.7107098234284,1165000
2025-02-12,237.7350311279297,239.1180095518265,235.4728552597925,236.58912610622414,1334100
2025-02-13,240.0564422607422,240.37256020438986,236.75704035891886,238.12027261256637,911300
2025-02-14,235.40371704101562,239.49339909049132,234.08000694986515,239.07850555774272,1348200
2025-02-18,235.50247192382812,237.66585699796673,234.55414823890882,236.0457902190075,1121700
2025-02-19,239.40447998046875,239.92803714552883,236.31251723058548,238.40674589082582,1330800
