Date,Close,High,Low,Open,Volume
2024-12-02,162.50086975097656,163.94656530522866,161.9455713100643,163.67849221084177,633700
2024-12-03,158.48934936523438,163.24766935895425,158.0202286899231,163.24766935895425,1085500
2024-12-04,157.0149383544922,158.508492747759,156.76601749191076,157.9723465151903,598200
2024-12-05,156.67025756835938,157.28299815497513,155.67455959344176,156.37346340109224,516600
2024-12-06,156.5745391845703,158.48935568955358,155.50224661662466,157.01495340862832,632700
2024-12-09,157.5032196044922,158.4127690924704,155.7224397468616,157.10110990875495,997800
2024-12-10,153.5491180419922,157.50320361989665,152.81190970351298,157.50320361989665,1379900
2024-12-11,152.72573852539062,155.30116855607926,151.56726833954227,153.99909300412426,725200
2024-12-12,152.1512908935547,154.08525931292687,151.6438657779547,152.24703754547045,876100
2024-12-13,151.46197509765625,152.69703986299024,150.75350237569984,151.9694002775563,876100
2024-12-16,150.51400756835938,153.0193463415722,150.3205330332566,151.66509839602642,796200
2024-12-17,149.44029235839844,151.23949635292504,149.0920588510696,149.76917545975485,1124500
2024-12-18,142.83352661132812,149.78851360564067,142.67875289628674,148.83086784886018,1061100
2024-12-19,137.6970977783203,143.8782311329616,137.4455867942284,142.5239832279489,1462900
2024-12-20,142.19509887695312,144.59403246669353,138.8675377389074,139.30282590591165,3596100
2024-12-23,143.08502197265625,143.46227367579266,140.84086215811072,141.46961007666013,1034800
2024-12-24,144.67141723632812,144.67141723632812,141.79849471154398,142.34987053914458,435700
2024-12-26,144.7101287841797,145.10671616535566,142.214457781486,143.4429354968932,570100
2024-12-27,143.24948120117188,145.18410858645893,142.93026591139522,143.69445199420355,594000
2024-12-30,142.4369354248047,142.93994265724706,140.94727889338512,142.58202656876162,830000
2024-12-31,144.7101287841797,144.8552199285081,142.76581888996895,143.38489903916184,932600
2025-01-02,142.9592742919922,144.99063881060414,141.85653734875459,144.55535063091145,774300
2025-01-03,146.10304260253906,146.2287980962917,142.67875888374436,143.1624156935198,810200
2025-01-06,143.70411682128906,146.21913827373834,143.578361320656,145.5516894781249,991900
2025-01-07,143.57835388183594,145.47429507607353,142.2628215250617,144.7294594540479,807400
2025-01-08,143.1720733642578,143.87822288368406,141.60503013491024,143.16240554236023,961000
2025-01-10,141.99195861816406,142.94960440770433,140.7441305530368,142.42726155161333,1449900
2025-01-13,142.58201599121094,143.33651940388364,140.83118077052086,142.10804178275706,1454600
2025-01-14,143.9652862548828,144.68110363943464,142.62072092824923,143.06567692294374,1172200
2025-01-15,144.60372924804688,148.55037088581406,144.06202118165737,147.97964458944386,1173400
2025-01-16,146.64474487304688,147.36054747700172,143.3075012085345,144.89389489194062,1685300
2025-01-17,145.6774444580078,147.62173961911975,145.6677618748951,147.55402057747165,1183700
