Date,Close,High,Low,Open,Volume
2024-12-02,392.08721923828125,394.9814504529073,389.1930182717788,392.55307059052205,1538700
2024-12-03,391.82952880859375,394.48585848558025,386.9232227407424,392.24580347910194,1016900
2024-12-04,388.60821533203125,391.40332333064356,387.3196755658593,391.3240127537074,1213900
2024-12-05,381.8385314941406,388.07300269848616,381.0852624478412,386.9728179114323,1388300
2024-12-06,381.56097412109375,386.2392999305289,381.06538888809473,384.3362695747613,1910000
2024-12-09,373.12615966796875,382.49270306650925,372.1548016552084,381.9971177994503,2337500
2024-12-10,368.3189392089844,372.5115707846973,367.3376599109085,372.04571947093797,1808600
2024-12-11,368.65594482421875,371.32219579240365,367.238578320155,370.63828575234896,1302400
2024-12-12,363.61090087890625,367.68459708012443,363.0954728644957,367.4368044572341,1219300
2024-12-13,361.2816467285156,363.9875530789342,359.24975930569775,363.93797640513185,1118800
2024-12-16,361.8069763183594,365.0183591469498,360.74641659475117,362.96665914430815,1486600
2024-12-17,359.5867614746094,365.3256170076274,359.3389688445719,360.2607501687615,1292400
2024-12-18,345.5815124511719,361.3411174560422,345.27425201398444,358.38741845713315,2306800
2024-12-19,339.3569641113281,346.820476842975,339.15871791004497,345.9085866644453,2055800
2024-12-20,342.419677734375,346.2654241577575,336.30414237073614,336.74025981553973,3294800
2024-12-23,341.79522705078125,342.75666363293715,337.75126477366405,341.30956319163084,1083300
2024-12-24,343.46038818359375,343.46038818359375,339.010042351515,340.76440323397605,445900
2024-12-26,342.4593200683594,343.57934754340823,339.822802978382,339.822802978382,750500
2024-12-27,340.2589416503906,343.3811227880415,338.3658022975374,341.05186597965536,881700
2024-12-30,335.759033203125,339.55520320662276,334.12360779950984,339.5453120695709,1217400
2024-12-31,336.9286193847656,338.0585684032472,334.58947125602543,335.88790233984975,1053100
2025-01-02,330.2183837890625,339.0001403355506,328.07745177309454,337.1962329246479,2263600
2025-01-03,333.5685119628906,335.2138585409004,330.0994153852863,331.6753727721948,1636100
2025-01-06,334.83721923828125,338.73251197007755,334.0442647044009,334.6984408518062,1841100
2025-01-07,331.44744873046875,339.7435419664544,328.5433260782199,333.0531402925141,1625900
2025-01-08,334.5597229003906,334.6290818517637,329.2668756826777,332.2106534875539,1413700
2025-01-10,327.2448425292969,330.4066787148647,325.1039107070611,327.09617301000037,1685200
2025-01-13,333.1522216796875,333.4495909768292,324.5488690493516,326.80873656626295,1442700
