Date,Close,High,Low,Open,Volume
2024-12-02,111.75297546386719,112.52475312478262,110.76896593840641,112.0038043076973,3386500
2024-12-03,112.29322814941406,112.96852811489883,111.51180120624727,111.85910043427305,4520300
2024-12-04,110.99085998535156,112.27392992278897,110.33485114867376,112.27392992278897,3761300
2024-12-05,109.77529907226562,110.35412859515526,108.90705110782281,110.0164786534877,2510200
2024-12-06,108.0484619140625,110.4023771896027,107.77834193691213,109.03247145371279,3650800
2024-12-09,111.34779357910156,111.37673395284757,108.53081767782697,109.0131768675062,4717100
2024-12-10,109.15789794921875,111.19345453951068,108.58871021627986,111.0390960491483,2908100
2024-12-11,108.00987243652344,110.05507811797973,107.36351286746086,109.05177008708895,2804200
2024-12-12,107.7108154296875,109.33154270527706,107.37316544731834,107.68187505408694,2868200
2024-12-13,107.20915985107422,107.77834757000487,106.72680062088996,107.18986872036265,4741200
2024-12-16,105.94409942626953,108.32825221152126,105.60349980750242,107.33566818432116,5586800
2024-12-17,105.94409942626953,106.85883168778841,105.02935974039764,105.5548480222164,4687400
2024-12-18,101.11740112304688,106.18738041963537,101.04927525994329,105.57430704652703,5422600
2024-12-19,98.67485809326172,102.10025418809994,98.64566553659952,101.81804709977683,7786700
2024-12-20,100.54325866699219,101.99321260691414,98.11044655501081,98.11044655501081,11067200
2024-12-23,101.34122467041016,101.61369844961574,99.80368557420302,100.19293701207685,4626200
2024-12-24,101.88616943359375,101.98348785865754,100.66003746080729,100.9519704629383,1883700
2024-12-26,104.01731872558594,104.58173294269446,100.78654439311997,101.19525506439702,4799000
2024-12-27,102.41165161132812,104.34817530391086,101.9932076514239,103.30693206754731,3655100
2024-12-30,102.2754135131836,102.63547235673352,100.84491889001463,102.04186564338649,4038500
2024-12-31,102.85929107666016,103.55021623613588,101.97375134619587,103.23880916462389,4602700
2025-01-02,101.45799255371094,103.70590843992643,100.99088938839648,103.53074568097763,4180100
2025-01-03,102.79117584228516,103.08311626875773,100.85465945812055,101.70128075540825,3558800
2025-01-06,103.79350280761719,105.9149079092998,102.90795560702539,103.63779926381281,4450200
2025-01-07,103.71564483642578,105.37968738351555,103.2193491006559,104.64011044335793,4958800
2025-01-08,102.66466522216797,103.76429356078526,102.0905251604443,103.55021234369788,3571500
2025-01-10,100.80599212646484,102.17810162627853,100.71841446018884,101.2049768488854,4230700
